time,open,high,low,close,volume,support,resistance,sma_20,signal,sl,tp,position_open,position_price,position_sl,position_tp
1970-01-01 00:00:01.750822980,101068.6916,101099.4936,101020.9404,101063.3656,78553,100972.7712,101779.7178,101420.61369500001,0,,,False,,,
1970-01-01 00:00:01.750823040,101064.8062,101113.1717,101013.7543,101039.1485,99417,100972.7712,101779.7178,101391.53972999999,0,,,False,,,
1970-01-01 00:00:01.750823100,101017.8883,101060.586,100996.2433,101051.2006,64343,100972.7712,101779.7178,101364.87817000001,0,,,False,,,
1970-01-01 00:00:01.750823160,101041.3306,101066.7743,100922.2246,100973.264,144550,100922.2246,101779.7178,101338.058865,0,,,False,,,
1970-01-01 00:00:01.750823220,100960.1456,101048.2999,100933.9289,100984.6564,114371,100922.2246,101779.7178,101303.415045,0,,,False,,,
1970-01-01 00:00:01.750823280,100968.7312,100968.7312,100841.4556,100928.6283,127276,100841.4556,101779.7178,101267.95602499999,0,,,False,,,
1970-01-01 00:00:01.750823340,100960.2098,101019.5157,100907.812,100964.9249,111704,100841.4556,101779.7178,101236.58243,0,,,False,,,
1970-01-01 00:00:01.750823400,100963.2659,100963.2659,100837.1257,100840.056,126140,100837.1257,101779.7178,101200.483135,-1,101029.5157,100820.056,True,100840.056,101029.5157,100820.056
1970-01-01 00:00:01.750823460,100855.432,100996.8784,100855.432,100924.5559,141446,100837.1257,101755.5778,101161.22763499999,0,,,False,,,
1970-01-01 00:00:01.750823520,100910.4305,101005.2014,100909.3874,101005.2014,95814,100837.1257,101544.8712,101133.611925,0,,,False,,,
1970-01-01 00:00:01.750823580,100989.7272,101018.433,100900.8986,100935.5293,117534,100837.1257,101510.2311,101109.39601,0,,,False,,,
1970-01-01 00:00:01.750823640,100910.564,100989.8897,100832.6138,100832.6138,157276,100832.6138,101510.2311,101083.32787000001,-1,101028.433,100812.6138,True,100832.6138,101028.433,100812.6138
1970-01-01 00:00:01.750823700,100847.2518,100847.2518,100679.935,100717.4842,167317,100679.935,101510.2311,101054.7182,-1,100999.8897,100697.4842,True,100717.4842,100999.8897,100697.4842
1970-01-01 00:00:01.750823760,100746.7195,100887.2974,100719.1336,100887.2974,168164,100679.935,101510.2311,101033.84833,0,,,False,,,
1970-01-01 00:00:01.750823820,100886.52,100944.9807,100787.2017,100787.2017,157779,100679.935,101472.0895,101003.14515,0,,,False,,,
1970-01-01 00:00:01.750823880,100786.9337,100812.5997,100705.399,100740.7372,107201,100679.935,101389.6478,100972.437875,0,,,False,,,
1970-01-01 00:00:01.750823940,100710.4875,100852.4678,100710.4875,100833.1003,141980,100679.935,101309.1118,100952.74701,0,,,False,,,
1970-01-01 00:00:01.750824000,100829.5121,100919.9189,100805.2351,100894.5262,114684,100679.935,101309.1118,100933.391185,0,,,False,,,
1970-01-01 00:00:01.750824060,100865.9335,100882.5273,100755.3508,100856.9341,127177,100679.935,101188.1818,100917.28070999999,0,,,False,,,
1970-01-01 00:00:01.750824120,100841.1216,100929.8075,100818.1101,100895.6635,111697,100679.935,101113.1717,100907.80446500001,0,,,False,,,
1970-01-01 00:00:01.750824180,100886.5477,100886.5477,100656.0571,100675.6015,230491,100656.0571,101113.1717,100888.41626,-1,100939.8075,100655.6015,True,100675.6015,100939.8075,100655.6015
1970-01-01 00:00:01.750824240,100652.4007,100865.2813,100652.4007,100816.5651,212881,100652.4007,101066.7743,100877.28709,0,,,False,,,
1970-01-01 00:00:01.750824300,100828.6558,100952.5811,100818.2693,100923.4579,134312,100652.4007,101066.7743,100870.899955,0,,,False,,,
1970-01-01 00:00:01.750824360,100895.9556,100895.9556,100733.8909,100810.3696,162065,100652.4007,101048.2999,100862.755235,0,,,False,,,
1970-01-01 00:00:01.750824420,100802.7443,100821.7583,100700.2595,100749.2279,121499,100652.4007,101019.5157,100850.98381,0,,,False,,,
1970-01-01 00:00:01.750824480,100768.4474,100768.4474,100650.8083,100660.9984,117639,100650.8083,101019.5157,100837.602315,0,,,False,,,
1970-01-01 00:00:01.750824540,100662.9778,100728.7919,100603.2341,100728.7919,125558,100603.2341,101018.433,100825.79566500001,0,,,False,,,
1970-01-01 00:00:01.750824600,100730.607,100852.5074,100700.6995,100761.1111,151808,100603.2341,101018.433,100821.84842,0,,,False,,,
1970-01-01 00:00:01.750824660,100730.5855,100745.408,100609.6654,100683.4426,135743,100603.2341,101018.433,100809.792755,0,,,False,,,
1970-01-01 00:00:01.750824720,100670.4378,100780.761,100629.1127,100710.7149,151648,100603.2341,101018.433,100795.06843,0,,,False,,,
1970-01-01 00:00:01.750824780,100721.01,100728.5349,100635.1079,100722.4037,93427,100603.2341,100989.8897,100784.41215,0,,,False,,,
1970-01-01 00:00:01.750824840,100705.7139,100842.3716,100683.0117,100833.621,159360,100603.2341,100952.5811,100784.46251,0,,,False,,,
1970-01-01 00:00:01.750824900,100841.5679,100906.6087,100814.5646,100865.2813,92044,100603.2341,100952.5811,100791.852365,0,,,False,,,
1970-01-01 00:00:01.750824960,100863.7287,100941.6847,100805.8512,100919.9054,135833,100603.2341,100952.5811,100793.48276500001,0,,,False,,,
1970-01-01 00:00:01.750825020,100927.5124,101011.7788,100846.6012,100859.2977,165178,100603.2341,101011.7788,100797.08756500001,0,,,False,,,
1970-01-01 00:00:01.750825080,100889.6002,100908.5774,100803.661,100852.366,104916,100603.2341,101011.7788,100802.669005,0,,,False,,,
1970-01-01 00:00:01.750825140,100836.0551,100885.7286,100782.0528,100843.0558,103676,100603.2341,101011.7788,100803.16678,0,,,False,,,
1970-01-01 00:00:01.750825200,100784.9368,100911.0104,100784.9368,100835.3943,126074,100603.2341,101011.7788,100800.210185,0,,,False,,,
1970-01-01 00:00:01.750825260,100822.1809,100970.7846,100799.9822,100897.4847,170802,100603.2341,101011.7788,100802.237715,0,,,False,,,
1970-01-01 00:00:01.750825320,100926.5864,100926.5864,100768.4298,100851.623,158157,100603.2341,101011.7788,100800.03569,0,,,False,,,
1970-01-01 00:00:01.750825380,100866.2307,100915.5722,100805.8717,100863.9339,109700,100603.2341,101011.7788,100809.45231,0,,,False,,,
1970-01-01 00:00:01.750825440,100906.43,101084.2513,100854.2109,101030.9206,230040,100603.2341,101084.2513,100820.170085,1,100795.8717,101050.9206,True,101030.9206,100795.8717,101050.9206
